subject_id,subject_slug,subject_type,subject_characters,deprecated_meaning_hint,deprecated_meaning_mnemonic,deprecated_meanings,deprecated_reading_hint,deprecated_reading_mnemonic
14,prison,Radical,勹,,"This radical encloses a lot of things (or at least tries to enclose things). It's like a big latchy box that goes around something and then chomps down to enclose it, making this the [radical]enclosure[/radical] radical. Imagine something like this trying to come down from the sky to enclose you. Scary looking, right?",Enclosure,,
17,dirt,Radical,土,,"There's a cross in the ground, which makes this a [radical]grave[/radical]. Now, later on you'll learn a really similar radical with a cross that's wider than the ground. Just remember, this is a regular ol' grave, where the cross is not as wide as the ground.",Grave,,
27,street,Radical,丁,,"See the barb radical with a head on it? It looks just like a nail. That barb on the end looks painful. Imagine getting that nailed into your arm, with someone hitting the head of this nail with a big hammer. Imagine how much it would hurt to pull out, too. No, really, imagine it - it will help you to remember this radical so much better. Thwack Thwack Thwack!",Nail,,
36,bow,Radical,弓,,"Boing, boing, boing. This looks just like a giant [radical]spring[/radical] that you might put on the bottom of your shoes to jump higher.",Spring,,
42,writing,Radical,文,,"Doesn't this look like a [radical]doll[/radical]? It has a head, arms, legs, and a body! So pretty.",Doll,,
50,book,Radical,本,,"With all the fake things in this world, it's sometimes nice to get something that comes out of the ground, like a tree. Things like this are [radical]real[/radical], not fake like plastic, etc.",Real,,
140,private,Radical,ム,,This little triangle isn't quite a triangle because it's not one single thing. It's several things put together to form a little [radical]pile[/radical] of something. ,Pile,,
62,canopy,Radical,广,,"It's a party in the back and business in the front. It's a [radical]mullet[/radical]. You can see the short hair(s) on top, even, and the long, sweeping beauty in the back. This is the best haircut in the world. This is a mullet.",Mullet,,
63,fingers,Radical,扌,,"This barb has two things sticking through it. This looks like a devastating weapon. Why, it looks like a [radical]nailbat[/radical], actually!",Nailbat,,
61,dry,Radical,干,,"Doesn't this look like the [radical]antenna[/radical] that would be on top of a house or maybe on top of a television? That's why this radical means ""antenna.""",Antenna,,
102,towel,Radical,巾,,"You have a head, and a line going right through the middle. Who else has a line going through the middle of their face? None other than the Batman villain [radical]Two Face[/radical].",Two Face,,
71,task,Radical,用,,"This radical is made up of two moon radicals stuck together. Two moons stuck together would be something huge - in this case, that huge thing is an [radical]elephant[/radical]. In fact, if you look at the radical itself, it looks like the profile of an elephant, with its trunk on the right side and its legs in the middle and back!",Elephant,,
78,roof,Radical,宀,,The [radical]helmet[/radical] is almost like the lid (亠) except it has the little side things to hold it onto something. That's why this is a helmet that goes onto things you need to protect.,Helmet,,
81,branch,Radical,支,,"Do you remember / know of the game ""Frogger""? Looking from a bird's eye view, this radical looks just like a [radical]frog[/radical], running across the highway.",Frog,,
83,world,Radical,世,,"If you look at this radical, you'll notice that the inner piece built onto the ground radical and the outer piece, also built onto the ground are kind of the same... except, the outer piece isn't completely finished yet. The middle bit is all done, and they're the center. The second layer currently being formed is the next [radical]generation[/radical]. Surely, there will be even another generation going around the second layer (when it's done) and another and another later on.",Generation,,
80,spirit,Radical,ネ,,"This radical kind of looks like a [radical]pelican[/radical] standing there with its giant pelican mouth open. It even has the long legs, too.",Pelican,,
94,shellfish,Radical,貝,,"There's a giant eye on top of some fins. Imagine this giant eye to be on top of a [radical]clam[/radical]. It has little fins on which it runs around on, escaping from your every attempt to capture it.",Clam,,
125,village,Radical,里,,"See the big flower at the top of the stem and ground? It's the biggest flower of them all, a bright and beautiful [radical]sunflower[/radical].",Sunflower,,
114,scooter,Radical,⻌,,"You have a drop of water at the top, and then a squiggly looking thing that looks like it could be a slide. That's why this radical is the [radical]water slide[/radical]. What fun!",Water Slide,,
129,ladle,Radical,斗,,"There's two [radical]chopsticks[/radical] grabbing on to some rice. Of course, the person using them isn't all that skilled, but we'll forgive them, for now...",Chopsticks,,
132,yakuza,Radical,歹,,"The evening radical is under the ground. Things that happen underground at night are usually all [radical]bad[/radical] things. Think of all the bad underground stuff that happens at night. Gambling, prostitution, drug dealing... you name it. It's all bad.",Bad,,
135,grain,Radical,禾,,"This radical is a tree with something extra on the top. Although it's sort of arbitrary, we're going to associate this kind of tree with a [radical]pine[/radical] tree, making this radical a pine.",Pine,,
128,knife,Radical,刂,,"Not only does this radical look like the hiragana/katakana character リ (which is the first two letters of the word ""ribs""), but this radical also kind of looks like [radical]ribs[/radical] itself, though you'll have to turn them sideways in your mind, first.",Ribs,,
131,boil,Radical,灬,,You know what fins are - double that and you have a [radical]fish tail[/radical].,Fish Tail,,
147,clan,Radical,氏,,"If you look at this radical the right way, you can see a [radical]duck[/radical] head, facing to the right. What a majestic duck this is, too.",Duck,,
148,spear,Radical,矛,,"This radical is a dude standing up straight, swinging his arms with his march, and carrying a sword (which hangs off to the left). That's why this is the [radical]soldier[/radical] radical.",Soldier,,
149,boat,Radical,舟,,"This looks like some billowing [radical]sail[/radical]s being puffed up by the wind, which is why this radical is ""sail.""",Sail,,
169,circumference,Radical,周,,"See the head radical wisping off to the left side? Also, do you see the mouth, and the strange face? It's moaning and floating around. Only one thing does this, and it is a [radical]ghost[/radical].",Ghost,,
228,oneself,Radical,己,,"This looks a lot like the snake you will learn later on, but it's different because this snake is standing up, ready to strike. Can you think of a snake that takes up this position? How about a [radical]cobra[/radical]?",Cobra,,
159,cloud,Radical,云,,"This radical consists of two piles. Whether you're a dude or a gal, you probably have two piles on your chest. That's why these are [radical]boobs[/radical].",Boobs,,
160,weapon,Radical,殳,,"This radical has both table and stool in it, shrunken down into a small space. Who else does that (and also has tables and stools?)? It would have to be the incredible furniture company [radical]Ikea[/radical]!",Ikea,,
172,easy,Radical,易,,"The sun has a wing on it. That wing symbolizes the sun spinning around, pulling the planets in. That's the [radical]gravity[/radical] of the sun, so remember this radical as ""gravity"".",Gravity,,
8780,cape,Radical,,,"The [radical]cloak[/radical] goes over everything. It protects it and keeps hidden whatever is below it. This looks like a cloak too, right? The right side is the cape part, coming down, and the top part is the part you tie around your neck.",Cloak,,
163,net,Radical,罒,,This is a sideways eye. Whose big eye is this? It's [radical]Sauron[/radical]'s eye. He's looking for those hobbits he is.,Sauron,,
176,building,Radical,阝,,"This radical looks like the letter ""B"" - what does ""B"" stand for? In this case, it stands for [radical]butcher[/radical].",Butcher,,
166,jammed-in,Radical,介,,"See the roof on top of this little building? It's like a little [radical]hut[/radical] you might see next to a beach, or something!",Hut,,
8787,yurt,Radical,,,"There's a mullet here with a little head in it. Finally, someone is wearing the mullet. Who wears mullets, typically? That would be the [radical]hick[/radical].",Hick,,
218,anti,Radical,反,,"You've probably seen how the identical kanji [ja]反[/ja] means [kanji]anti[/kanji]. I want you to have a better radical for that, though, since it comes up a lot. When you think of the word ""anti"" what do you think of? How about the Anti-Christ? Who does he work for? That's the [radical]devil[/radical].",Devil,,
8779,spring,Radical,,,This radical looks like a railway track going off into the distance. What rides on railway tracks? That would be a [radical]train[/radical].,Train,,
183,landslide,Radical,辰,,Who's strong enough to kick someone inside of a cliff then under the ground? The only person I can think of that strong is [radical]superman[/radical].,Superman,,
219,bundle,Radical,束,,"There is a tree with a mouth on it. In terms of trees with mouths, I think Tree [radical]Ent[/radical]s make the most sense. They're the big tree people from the Lord Of The Rings trilogy. Go watch those movies / read those books and come back if you need to know more.",Ent,,
199,simple,Radical,単,,Doesn't this radical look like a [radical]witch doctor[/radical] standing there with a mask and feathers / other things in his hair?,Witch Doctor,,
190,humble,Radical,申,,"This radical is the same as the kanji you learned earlier, 申. They have the same meanings too. This radical means [radical]say humbly[/radical].",Say Humbly,,
8776,trash,Radical,,,"Before you had two piles. Now you only have one. One pile is singular, that's why this pile is just a single [radical]boob[/radical]. Also, it has a little nipple on there, making it more boob-like, whether it's a dude-boob or a lady-boob, that's up to your own imagination.",Boob,,
196,root,Radical,艮,,"You wouldn't think so, but kicking the sun is a really [radical]good[/radical] thing. If you don't kick it every once in a while, it won't come up. So, don't forget that it's good to kick the sun, okay?",Good,,
